Stkcd,Year,Net Fixed Assets,Total Assets,Total liabilities,Depreciation and amortization,Net profit,Trdsta,Nnindcd,OWNERSHIPTYPECODE,M2,Lev,NPR,Size,Tang,Growth,NDTS,SOE
000002,2010,1219581927.0,215638000000.0,161051000000.0,95989556.85,8839610505.0,1.0,K,P0301,19.7330678,0.7468581604355448,0.0409928236442556,26.096866912769748,0.0056556911444179,0.5670392023762806,0.000531517841650068,1
000002,2011,1595862734.0,296208000000.0,228376000000.0,113447760.8,11599606212.0,1.0,K,P0301,17.3229731,0.7709987576297737,0.0391603407470426,26.41432774719324,0.0053876422446389,0.3736354445876886,0.0007259443752418679,1
000002,2012,1612257202.0,378802000000.0,296663000000.0,182621025.2,15662588423.0,1.0,K,P0301,14.3916404,0.7831611237533065,0.0413476919947624,26.66027947807544,0.0042562003421312,0.2788378436774159,0.00063227738103035,1
000002,2013,2129767863.0,479205000000.0,373766000000.0,179235500.2,18297549871.0,1.0,K,P0301,13.5889076,0.7799709936248579,0.0381831363842197,26.89539431774998,0.0044443773812877,0.2650540387854341,0.0004967552468057641,1
000002,2014,2308351663.0,508409000000.0,392515000000.0,548904324.5,19287524028.0,1.0,K,P0301,11.0119364,0.7720457348316021,0.0379370231998253,26.9545520787014,0.0045403438235751,0.0609426028526413,0.0010796510771839,1
000002,2015,4917479161.0,611296000000.0,474986000000.0,715806286.7,25949438026.0,1.0,K,P0301,13.3431019,0.7770147359053552,0.042449873753468,27.13884713052765,0.0080443503000183,0.2023705323863267,0.0011709651080654,1
000002,2016,6810793074.0,830674000000.0,668998000000.0,1148632099.0,28350255481.0,1.0,K,P0301,11.3331207,0.8053676893703186,0.0341292197432446,27.44550325639708,0.008199116710045,0.3588736062398576,0.0013827712183118,1
000002,2017,7098808083.0,1165350000000.0,978673000000.0,1929038082.0,37208387330.0,1.0,K,P0301,8.1739625,0.8398103574033552,0.0319289375123353,27.78404258701095,0.0060915674115072,0.4028969246659941,0.0016553293705753,1
000002,2018,11533798650.0,1528580000000.0,1292960000000.0,2921936171.0,49272294535.0,1.0,K,P0301,8.9443284,0.8458569391199675,0.0322340306264637,28.05536031580201,0.0075454334414947,0.3116917664221049,0.0019115363088618,1
000002,2019,12399838267.0,1729930000000.0,1459350000000.0,4119515641.0,55131614572.0,1.0,K,P0301,8.7447711,0.8435890469556572,0.0318692748099634,28.179102061191863,0.007167826598186,0.1317235604286331,0.0023813192678316,1
000002,2020,12577342742.0,1869180000000.0,1519330000000.0,4860766081.0,59298116445.0,1.0,K,P0301,10.0834733,0.8128323649942756,0.0317241338153628,28.25652094795084,0.0067288023315036,0.0804945864861584,0.0026004804679057,1
000002,2021,12821059775.0,1938640000000.0,1545870000000.0,5482004221.0,38069527018.0,1.0,K,P0301,8.9676257,0.7973992076919902,0.0196372338433128,28.29300781223887,0.0066134299173647,0.037160680084315,0.0028277577172657,1
000002,2022,16420265135.0,1757120000000.0,1352130000000.0,6944405449.0,37550909305.0,1.0,K,P0301,11.8100353,0.7695148879985431,0.0213707141828674,28.19469722103692,0.00934498789781,-0.0936326496925679,0.0039521520721407,1
